TAprov2019_Total;TAprov2019_1_serie;TAprov2019_2_serie;TAprov2019_3_serie;TAprov2019_4_serie;Indicador_Rendimento;SAEB2019_Matematica;SAEB2019_Lingua Portuguesa;SAEB2019_Nota Media Padronizada;IDEB_2019
43.3;33.7;37.3;69.8;95;0.42;217.25;226.7;3.13;1.3
67.3;59.1;53.5;92.5;95;0.65;195.4;188.21;2.25;1.5
57.1;52.4;50;72.2;95;0.57;202.24;211.64;2.7;1.5
53.8;25;58.3;97.5;95;0.45;239.39;237.57;3.61;1.6
41.7;30.6;31.1;78.7;95;0.39;259.57;260.92;4.24;1.6
78.3;89.8;61.5;70.6;95;0.72;191.51;201.14;2.39;1.7
75.2;63.9;77.4;96.2;95;0.77;185.14;196.81;2.24;1.7
42.7;29.2;48.1;66.7;95;0.43;254.26;246.08;3.94;1.7
91.8;87.5;100;94.4;95;0.94;182.36;180.42;1.95;1.8
70;50;70;83.3;95;0.65;211.29;206.73;2.75;1.8
66.1;85.4;83.3;82.9;15.1;0.39;277.9;271.21;4.65;1.8
55.3;47.8;64.9;60.7;95;0.57;219.72;233.74;3.27;1.9
68.8;57.6;65.7;88.7;95;0.68;206.32;215.61;2.81;1.9
60.3;52.9;47.8;85.7;95;0.58;219.62;235.82;3.3;1.9
61.9;31.1;78.4;83.3;95;0.53;243.92;233.47;3.61;1.9
93.9;100;87.5;94.1;95;0.94;185.59;192.9;2.18;2
88.6;87.1;84.1;92.8;95;0.88;190.34;194.41;2.27;2
80.9;80;69.2;92.9;95;0.8;199.98;197.95;2.46;2
63.8;51.6;66.7;84.8;95;0.65;213.44;225.51;3.06;2
61.1;46.8;70.9;80.8;95;0.63;224.61;221.81;3.16;2
58.3;47.8;48.9;83.6;95;0.56;238.36;238.15;3.6;2
74.8;65.8;75.9;83.9;95;0.74;199.38;209.44;2.63;2
50.9;31;63.3;89.7;95;0.51;256.64;244.54;3.95;2
65;49.6;68;80.2;95;0.63;220.59;227.47;3.19;2
62.3;52.9;65.3;80.2;95;0.64;215.74;222.23;3.05;2
57.4;35.1;74;66.7;95;0.53;245.15;249.7;3.87;2
71.6;54.3;85.3;93.3;95;0.73;217.4;199.59;2.73;2
90.5;81.8;100;85.7;95;0.89;184.2;195.98;2.21;2
55.5;50.4;45.8;77.1;95;0.55;239.8;239.58;3.64;2
74.1;64.3;89.9;100;95;0.78;203.12;208.29;2.66;2.1
74.1;68.4;74.5;89.3;95;0.76;211.88;209.29;2.8;2.1
81.8;74.2;83.2;87.8;95;0.81;202.75;204.5;2.6;2.1
87.6;90;82.6;90.3;95;0.87;197.56;196.56;2.41;2.1
60.7;39;65;78.5;95;0.56;239.78;245.33;3.73;2.1
56.7;51.2;50;83.3;95;0.58;236.8;238.05;3.58;2.1
73.2;67.3;74.5;80;95;0.74;199.34;223.68;2.84;2.1
62.1;54.5;70.6;64;95;0.62;225.52;236.75;3.4;2.1
95.7;92.3;96.3;100;95;0.96;177.24;198.47;2.15;2.1
75.8;67.4;61.1;94.3;95;0.72;211.01;217.1;2.9;2.1
61.7;47.8;62.3;82.8;95;0.61;219.72;244.53;3.44;2.1
79.6;61.5;83.3;94.7;95;0.77;202.89;211.06;2.7;2.1
58.3;43.7;68.2;73.2;95;0.59;233.52;239.63;3.56;2.1
70.4;66.7;64.6;81.4;95;0.7;213.84;220.06;2.99;2.1
69.8;21.1;93.8;100;95;0.44;275.58;285.82;4.84;2.1
89.7;82.7;89.2;95.8;95;0.89;200.76;199.05;2.49;2.2
65.7;60;60;73.3;95;0.64;233.26;231.06;3.42;2.2
72;66.1;74.1;75.9;95;0.72;218.22;225.08;3.12;2.2
57.7;45.1;70.3;62.8;95;0.57;240.15;247.66;3.77;2.2
64.6;53.4;67.5;79.2;95;0.65;227.69;234.65;3.4;2.2
63.3;58.3;59.6;72.5;95;0.63;233.94;238.63;3.55;2.2
70.1;55.1;74.7;88.8;95;0.7;218.06;221.54;3.07;2.2
81.7;88.6;83.3;71.1;95;0.8;205.83;207.23;2.68;2.2
67.3;76.9;68.4;53.3;95;0.65;226.47;233.77;3.37;2.2
88.8;87.1;76.2;97.3;95;0.86;201.64;203.27;2.56;2.2
82.7;77.8;92.3;77.4;95;0.82;202.37;212.34;2.71;2.2
81.5;76.2;81.1;86.7;95;0.81;204.75;211.86;2.74;2.2
73.2;57.4;70;92.9;95;0.71;219.34;225.75;3.15;2.2
